Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz.
Vardas396      Pavarde396     7    10   8    1    7    5    2    8    5    5    4
Vardas397      Pavarde397     8    1    5    2    8    10   2    5    2    6    4
Vardas398      Pavarde398     10   10   5    9    6    9    4    1    3    9    6
Vardas399      Pavarde399     9    1    10   9    8    3    1    7    10   7    7
Vardas400      Pavarde400     5    10   6    7    8    1    5    4    3    10   6
Vardas401      Pavarde401     9    2    10   5    9    10   7    2    9    1    1
Vardas402      Pavarde402     4    5    3    10   5    8    4    8    3    9    4
Vardas403      Pavarde403     8    3    10   4    8    6    2    6    2    6    1
Vardas404      Pavarde404     10   5    4    10   9    3    3    9    5    9    2
Vardas405      Pavarde405     6    4    1    6    5    3    9    3    7    3    4
Vardas406      Pavarde406     6    8    7    10   9    6    9    5    8    10   2
Vardas407      Pavarde407     5    3    3    8    3    9    1    10   1    7    2
Vardas408      Pavarde408     2    4    10   1    7    1    10   6    4    4    7
Vardas409      Pavarde409     3    8    4    3    7    8    3    3    10   3    8
Vardas410      Pavarde410     8    10   6    10   3    3    9    10   5    2    4
Vardas411      Pavarde411     5    10   7    6    5    1    6    2    7    8    10
Vardas412      Pavarde412     1    6    8    2    4    3    4    8    4    2    2
Vardas413      Pavarde413     1    4    1    5    7    7    1    2    7    4    4
Vardas414      Pavarde414     9    8    10   1    6    6    8    5    5    9    2
Vardas415      Pavarde415     8    10   7    10   8    9    6    10   5    8    4
Vardas416      Pavarde416     3    7    4    10   1    10   7    3    4    9    5
Vardas417      Pavarde417     1    1    9    6    6    7    10   1    10   2    6
Vardas418      Pavarde418     10   5    2    7    8    5    7    8    1    5    1
Vardas419      Pavarde419     8    6    5    7    10   8    3    10   3    3    9
Vardas420      Pavarde420     9    7    8    3    6    7    8    4    4    10   7
Vardas421      Pavarde421     7    10   1    3    3    3    1    10   4    9    4
Vardas422      Pavarde422     7    3    4    7    7    2    4    1    10   2    6
Vardas423      Pavarde423     4    6    3    3    7    7    1    2    7    9    3
Vardas424      Pavarde424     8    7    5    4    1    2    6    3    3    9    1
Vardas425      Pavarde425     7    7    8    7    1    4    6    2    1    3    4
Vardas426      Pavarde426     6    1    6    9    9    7    10   5    4    3    4
Vardas427      Pavarde427     2    3    1    8    3    1    9    6    6    8    2
Vardas428      Pavarde428     2    4    2    5    5    10   5    5    3    1    8
Vardas429      Pavarde429     9    7    2    5    1    7    9    5    4    7    9
Vardas430      Pavarde430     3    3    6    3    8    2    2    6    4    8    6
Vardas431      Pavarde431     4    10   5    3    1    1    2    1    5    10   7
Vardas432      Pavarde432     5    3    7    1    9    4    10   1    5    9    10
Vardas433      Pavarde433     3    3    6    8    2    7    5    8    1    9    8
Vardas434      Pavarde434     7    6    1    5    4    3    10   9    8    5    7
Vardas435      Pavarde435     3    10   8    4    3    1    7    5    2    4    8
Vardas436      Pavarde436     2    3    10   3    4    1    5    9    10   6    7
Vardas437      Pavarde437     8    4    6    6    3    10   2    8    6    6    3
Vardas438      Pavarde438     9    2    10   4    7    9    10   3    7    8    10
Vardas439      Pavarde439     9    2    5    3    6    7    3    4    6    8    5
Vardas440      Pavarde440     5    3    2    9    9    6    7    9    10   7    9
Vardas441      Pavarde441     6    2    3    7    7    4    5    7    4    9    10
Vardas442      Pavarde442     5    5    3    1    1    8    4    6    3    10   8
Vardas443      Pavarde443     4    1    8    1    1    4    5    3    10   5    10
Vardas444      Pavarde444     9    3    1    7    6    6    5    8    6    4    6
Vardas445      Pavarde445     5    6    9    6    8    8    8    8    10   7    6
Vardas446      Pavarde446     8    9    1    6    10   10   2    10   2    2    1
Vardas447      Pavarde447     2    4    6    3    4    7    3    10   3    2    10
Vardas448      Pavarde448     5    7    9    10   9    7    7    2    9    10   3
Vardas449      Pavarde449     6    2    3    2    1    2    4    5    2    4    10
Vardas450      Pavarde450     10   4    1    4    10   2    2    10   1    5    5
Vardas451      Pavarde451     2    5    8    8    10   5    5    1    7    7    6
Vardas452      Pavarde452     9    8    10   9    8    2    10   10   6    3    10
Vardas453      Pavarde453     5    1    3    10   3    8    7    4    7    10   2
Vardas454      Pavarde454     2    3    9    9    3    2    2    9    1    8    7
Vardas455      Pavarde455     9    5    9    1    1    8    10   1    9    1    5
Vardas456      Pavarde456     10   4    4    7    8    9    3    1    4    5    8
Vardas457      Pavarde457     4    5    9    1    2    1    8    8    2    9    2
Vardas458      Pavarde458     6    10   1    1    6    6    3    6    7    9    8
Vardas459      Pavarde459     3    1    10   3    10   3    3    2    2    9    7
Vardas460      Pavarde460     5    8    4    3    1    9    1    10   5    8    1
Vardas461      Pavarde461     2    9    9    8    3    10   7    4    2    5    10
Vardas462      Pavarde462     8    1    6    7    3    3    10   9    2    8    6
Vardas463      Pavarde463     2    2    6    3    3    9    4    8    5    10   3
Vardas464      Pavarde464     9    3    10   9    9    5    7    4    9    3    9
Vardas465      Pavarde465     3    9    8    3    7    3    2    3    7    10   4
Vardas466      Pavarde466     1    10   6    1    7    7    9    8    1    10   10
Vardas467      Pavarde467     4    8    7    4    4    4    10   5    7    1    3
Vardas468      Pavarde468     6    6    1    8    4    1    7    3    8    6    6
Vardas469      Pavarde469     10   9    3    1    4    8    10   2    4    7    1
Vardas470      Pavarde470     6    6    1    8    5    9    6    1    7    6    10
Vardas471      Pavarde471     9    2    3    7    6    1    8    6    8    6    5
Vardas472      Pavarde472     8    8    2    4    6    2    1    8    1    3    7
Vardas473      Pavarde473     6    9    8    3    6    3    8    2    10   3    7
Vardas474      Pavarde474     7    7    9    8    5    3    3    10   8    3    7
Vardas475      Pavarde475     2    2    3    1    9    10   10   4    9    2    9
Vardas476      Pavarde476     1    6    7    10   7    9    9    7    5    6    5
Vardas477      Pavarde477     2    8    4    8    8    5    2    9    1    4    4
Vardas478      Pavarde478     8    4    9    9    9    4    8    10   7    4    5
Vardas479      Pavarde479     6    10   2    4    7    7    3    2    8    9    9
Vardas480      Pavarde480     4    4    4    1    4    2    4    5    3    4    7
Vardas481      Pavarde481     5    9    2    1    4    3    9    6    8    7    3
Vardas482      Pavarde482     7    7    8    1    9    4    5    6    9    3    7
Vardas483      Pavarde483     10   4    9    1    1    9    5    9    7    2    5
Vardas484      Pavarde484     3    1    5    1    2    10   1    6    5    2    4
Vardas485      Pavarde485     10   6    3    5    1    9    4    10   4    3    6
Vardas486      Pavarde486     10   6    9    4    4    5    2    9    7    5    8
Vardas487      Pavarde487     2    3    9    2    4    8    7    3    7    8    5
Vardas488      Pavarde488     4    3    4    7    3    4    9    2    10   8    10
Vardas489      Pavarde489     8    2    7    10   7    3    9    6    7    4    10
Vardas490      Pavarde490     10   5    4    3    7    8    8    6    3    8    9
Vardas491      Pavarde491     1    9    9    8    3    6    7    8    5    7    9
Vardas492      Pavarde492     4    6    10   10   4    4    4    8    9    2    4
Vardas493      Pavarde493     10   8    5    4    9    6    5    3    7    8    1
Vardas494      Pavarde494     8    3    6    5    7    9    2    2    2    7    4
Vardas495      Pavarde495     10   2    8    1    2    7    9    2    10   8    2
Vardas496      Pavarde496     8    3    7    5    8    2    9    3    10   7    5
Vardas497      Pavarde497     10   6    10   5    2    10   5    6    4    1    2
Vardas498      Pavarde498     7    10   4    1    9    5    8    3    1    5    2
Vardas499      Pavarde499     10   9    4    1    7    10   6    10   10   1    5
Vardas500      Pavarde500     4    9    7    2    8    3    5    2    9    5    4
Vardas501      Pavarde501     3    5    7    3    10   8    10   4    2    7    4
Vardas502      Pavarde502     8    1    5    3    5    6    8    1    2    8    3
Vardas503      Pavarde503     3    9    7    2    9    1    8    5    3    4    7
Vardas504      Pavarde504     10   1    7    5    3    2    2    8    7    6    8
Vardas505      Pavarde505     7    6    10   10   2    4    9    5    5    10   8
Vardas506      Pavarde506     9    8    2    1    1    10   2    8    8    2    7
Vardas507      Pavarde507     5    5    5    6    5    4    8    8    4    7    5
Vardas508      Pavarde508     8    9    9    7    5    2    1    6    9    3    2
Vardas509      Pavarde509     8    9    10   10   4    6    6    1    9    2    10
Vardas510      Pavarde510     9    8    8    8    5    1    4    3    1    1    5
Vardas511      Pavarde511     10   6    9    3    1    3    9    6    3    5    6
Vardas512      Pavarde512     2    8    4    3    4    2    10   8    10   5    9
Vardas513      Pavarde513     1    1    10   6    3    4    2    9    3    5    5
Vardas514      Pavarde514     9    9    2    10   1    8    10   5    2    1    9
Vardas515      Pavarde515     5    9    3    7    1    8    7    1    2    7    5
Vardas516      Pavarde516     6    1    10   10   10   2    9    2    6    2    9
Vardas517      Pavarde517     7    7    7    3    5    9    6    4    6    4    6
Vardas518      Pavarde518     8    7    9    3    3    1    8    9    2    3    3
Vardas519      Pavarde519     5    10   10   10   7    2    4    5    2    4    1
Vardas520      Pavarde520     6    8    10   1    1    5    4    4    7    1    7
Vardas521      Pavarde521     5    9    10   9    1    3    1    4    1    8    5
Vardas522      Pavarde522     10   10   3    4    4    6    9    8    10   4    8
Vardas523      Pavarde523     1    2    3    3    4    9    1    4    2    6    5
Vardas524      Pavarde524     6    9    1    2    7    7    7    3    3    8    9
Vardas525      Pavarde525     9    3    2    7    2    8    4    8    4    7    4
Vardas526      Pavarde526     10   4    5    7    8    8    2    6    3    4    5
Vardas527      Pavarde527     6    6    4    4    7    10   9    6    7    3    1
Vardas528      Pavarde528     6    2    5    7    7    4    7    6    10   9    6
Vardas529      Pavarde529     8    1    2    9    4    1    10   8    10   4    6
Vardas530      Pavarde530     6    4    8    3    8    4    10   8    9    10   3
Vardas531      Pavarde531     6    2    10   2    10   8    2    8    6    2    5
Vardas532      Pavarde532     5    4    8    4    5    9    6    4    1    6    6
Vardas533      Pavarde533     4    3    10   10   8    8    10   9    10   5    3
Vardas534      Pavarde534     3    1    5    2    2    3    9    6    10   2    8
Vardas535      Pavarde535     9    4    6    4    4    10   6    4    9    5    2
Vardas536      Pavarde536     7    4    1    7    4    6    8    9    7    6    4
Vardas537      Pavarde537     8    9    6    6    3    3    9    7    9    5    10
Vardas538      Pavarde538     10   5    1    5    3    10   2    3    10   7    9
Vardas539      Pavarde539     8    5    1    7    3    10   5    8    6    8    7
Vardas540      Pavarde540     1    9    4    4    5    1    9    5    1    10   2
Vardas541      Pavarde541     2    10   3    7    9    1    3    7    9    7    1
Vardas542      Pavarde542     10   6    6    3    10   5    3    4    9    3    8
Vardas543      Pavarde543     8    7    8    3    8    1    1    8    3    1    4
Vardas544      Pavarde544     6    5    4    10   1    10   7    3    1    4    6
Vardas545      Pavarde545     9    4    1    4    1    2    10   3    9    1    2
Vardas546      Pavarde546     6    6    8    6    4    7    8    8    1    1    5
Vardas547      Pavarde547     2    7    1    9    8    9    9    10   4    7    3
Vardas548      Pavarde548     7    5    6    5    4    6    7    1    7    4    2
Vardas549      Pavarde549     4    7    9    9    8    3    6    10   10   5    4
Vardas550      Pavarde550     5    2    1    5    5    4    6    9    3    8    2
Vardas551      Pavarde551     3    7    9    4    4    8    4    1    9    7    8
Vardas552      Pavarde552     5    10   1    3    8    2    5    9    3    5    8
Vardas553      Pavarde553     4    10   9    5    2    8    4    10   3    6    7
Vardas554      Pavarde554     3    5    4    8    5    6    9    5    4    9    9
Vardas555      Pavarde555     4    7    10   4    2    1    4    6    10   7    7
Vardas556      Pavarde556     6    7    9    10   1    3    9    8    7    7    1
Vardas557      Pavarde557     7    7    2    10   8    5    4    6    7    3    1
Vardas558      Pavarde558     2    1    9    4    10   4    1    7    2    8    6
Vardas559      Pavarde559     1    3    7    4    6    6    10   3    1    5    3
Vardas560      Pavarde560     5    1    6    7    9    9    6    8    9    7    7
Vardas561      Pavarde561     6    7    6    10   9    2    6    5    6    2    1
Vardas562      Pavarde562     4    8    5    2    7    8    8    6    2    5    8
Vardas563      Pavarde563     2    4    6    3    2    5    9    4    2    1    2
Vardas564      Pavarde564     3    2    4    1    4    1    6    8    1    5    1
Vardas565      Pavarde565     1    6    2    10   6    4    1    5    4    2    9
Vardas566      Pavarde566     4    9    8    4    9    2    4    10   4    8    4
Vardas567      Pavarde567     3    5    1    7    1    6    6    10   10   8    1
Vardas568      Pavarde568     4    6    8    4    1    5    4    6    6    8    3
Vardas569      Pavarde569     6    5    10   10   9    9    9    9    6    1    4
Vardas570      Pavarde570     6    9    6    8    9    9    1    1    6    8    2
Vardas571      Pavarde571     3    2    8    8    5    10   5    5    6    1    3
Vardas572      Pavarde572     8    1    3    6    6    7    7    1    8    2    1
Vardas573      Pavarde573     4    3    1    10   1    4    10   3    9    7    1
Vardas574      Pavarde574     3    7    9    2    1    3    5    8    4    10   5
Vardas575      Pavarde575     3    10   10   1    10   1    4    2    4    2    10
Vardas576      Pavarde576     10   8    2    8    10   10   1    7    9    2    1
Vardas577      Pavarde577     7    6    8    7    5    3    4    1    4    5    7
Vardas578      Pavarde578     4    6    10   1    6    6    2    7    3    4    6
Vardas579      Pavarde579     2    6    6    10   5    6    10   7    6    3    7
Vardas580      Pavarde580     2    2    6    4    3    1    4    9    2    5    6
Vardas581      Pavarde581     5    3    7    6    6    4    9    10   10   9    1
Vardas582      Pavarde582     6    10   4    9    3    4    5    5    2    9    7
Vardas583      Pavarde583     10   4    10   6    7    6    1    2    6    7    4
Vardas584      Pavarde584     2    6    9    9    5    3    9    6    4    1    9
Vardas585      Pavarde585     7    1    7    7    4    8    8    9    5    1    4
Vardas586      Pavarde586     3    6    8    8    3    9    6    10   7    5    10
Vardas587      Pavarde587     9    8    10   8    1    4    1    10   1    3    3
Vardas588      Pavarde588     1    10   3    8    8    1    10   9    5    4    3
Vardas589      Pavarde589     9    10   1    7    5    8    8    6    4    2    2
Vardas590      Pavarde590     10   7    5    1    6    4    7    7    3    2    1
Vardas591      Pavarde591     5    3    10   6    10   5    9    2    1    8    7
Vardas592      Pavarde592     1    2    2    2    9    3    9    9    6    1    10
Vardas593      Pavarde593     10   8    7    3    2    5    4    4    2    1    6
Vardas594      Pavarde594     5    6    9    7    4    4    9    10   1    5    2
Vardas595      Pavarde595     3    7    6    9    7    2    6    1    2    1    3
Vardas596      Pavarde596     10   5    3    10   10   8    10   9    6    5    4
Vardas597      Pavarde597     10   1    8    7    8    7    10   9    9    1    8
Vardas598      Pavarde598     7    7    3    4    5    4    8    10   9    7    3
Vardas599      Pavarde599     10   5    8    9    1    10   4    5    4    2    6
Vardas600      Pavarde600     10   5    3    1    5    6    3    2    10   3    7
Vardas601      Pavarde601     9    10   7    9    9    8    5    3    4    6    5
Vardas602      Pavarde602     5    7    9    9    6    3    2    7    10   1    10
Vardas603      Pavarde603     7    8    3    3    8    2    10   4    10   7    4
Vardas604      Pavarde604     9    2    10   9    6    3    7    5    7    5    4
Vardas605      Pavarde605     1    2    1    5    3    2    1    9    5    4    6
Vardas606      Pavarde606     3    7    4    2    7    1    4    6    3    5    10
Vardas607      Pavarde607     7    3    2    1    2    10   4    6    10   8    9
Vardas608      Pavarde608     6    1    10   3    2    1    7    10   3    5    10
Vardas609      Pavarde609     1    2    5    8    1    2    3    9    2    6    9
Vardas610      Pavarde610     10   2    9    4    4    10   2    3    6    10   6
Vardas611      Pavarde611     2    1    2    8    2    1    3    10   5    3    1
Vardas612      Pavarde612     5    2    6    3    8    6    1    4    5    5    1
Vardas613      Pavarde613     5    8    7    6    1    2    10   3    10   10   2
Vardas614      Pavarde614     9    3    9    6    3    9    3    1    10   7    3
Vardas615      Pavarde615     1    6    8    7    5    4    4    8    1    6    1
Vardas616      Pavarde616     7    6    10   2    9    9    1    9    4    5    1
Vardas617      Pavarde617     1    7    4    1    3    6    8    4    1    8    6
Vardas618      Pavarde618     6    9    8    7    2    4    6    1    9    6    8
Vardas619      Pavarde619     3    8    9    3    6    4    3    5    3    10   1
Vardas620      Pavarde620     1    9    2    5    6    10   8    7    8    7    2
Vardas621      Pavarde621     6    6    3    10   8    2    8    1    5    5    9
Vardas622      Pavarde622     3    5    6    7    8    9    1    2    9    1    2
Vardas623      Pavarde623     3    8    7    6    8    7    9    6    1    7    2
Vardas624      Pavarde624     4    7    5    2    1    5    10   4    5    7    5
Vardas625      Pavarde625     10   4    9    7    9    1    1    1    1    4    1
Vardas626      Pavarde626     8    9    2    4    9    6    9    3    8    5    10
Vardas627      Pavarde627     6    6    3    3    6    8    6    3    9    10   6
Vardas628      Pavarde628     10   3    6    6    1    5    1    2    2    10   10
Vardas629      Pavarde629     6    2    5    7    8    7    2    9    7    2    7
Vardas630      Pavarde630     5    9    9    4    2    6    2    7    9    8    9
Vardas631      Pavarde631     6    9    7    9    3    1    2    10   10   9    2
Vardas632      Pavarde632     3    4    10   5    3    4    5    3    10   10   2
Vardas633      Pavarde633     9    2    8    10   8    4    1    10   8    6    10
Vardas634      Pavarde634     6    1    1    5    7    2    1    4    1    6    3
Vardas635      Pavarde635     8    5    3    2    7    6    4    2    3    6    9
Vardas636      Pavarde636     4    1    3    1    1    6    8    5    3    4    8
Vardas637      Pavarde637     5    7    2    10   4    3    10   10   6    5    7
Vardas638      Pavarde638     1    3    10   9    2    4    5    5    9    8    3
Vardas639      Pavarde639     4    5    6    4    8    8    9    1    3    4    3
Vardas640      Pavarde640     10   10   5    2    8    2    3    5    5    4    6
Vardas641      Pavarde641     7    10   7    2    2    9    2    8    1    1    2
Vardas642      Pavarde642     6    5    2    5    5    6    10   3    9    4    6
Vardas643      Pavarde643     2    7    3    10   8    10   8    7    4    10   4
Vardas644      Pavarde644     4    9    1    7    8    3    2    9    10   4    8
Vardas645      Pavarde645     2    9    1    3    5    9    4    1    1    2    10
Vardas646      Pavarde646     8    4    3    1    1    2    1    4    5    9    6
Vardas647      Pavarde647     3    4    4    2    1    1    9    5    7    10   9
Vardas648      Pavarde648     3    2    6    8    5    6    1    10   6    8    7
Vardas649      Pavarde649     2    10   6    7    8    7    8    6    4    3    5
Vardas650      Pavarde650     1    7    8    3    1    7    9    8    5    6    1
Vardas651      Pavarde651     4    1    5    5    6    5    2    10   7    3    6
Vardas652      Pavarde652     5    6    5    8    6    5    9    6    2    8    5
Vardas653      Pavarde653     8    4    8    8    7    3    2    2    3    3    8
Vardas654      Pavarde654     10   2    10   7    6    2    8    6    9    9    7
Vardas655      Pavarde655     4    6    3    1    10   8    6    4    2    8    4
Vardas656      Pavarde656     4    8    4    2    3    6    10   6    1    4    5
Vardas657      Pavarde657     2    3    3    9    4    8    6    3    9    1    1
Vardas658      Pavarde658     4    8    9    8    7    3    5    3    4    2    2
Vardas659      Pavarde659     4    6    1    4    10   4    6    2    1    6    4
Vardas660      Pavarde660     7    8    2    6    1    1    9    9    8    7    7
Vardas661      Pavarde661     3    10   10   10   1    6    6    10   4    2    6
Vardas662      Pavarde662     5    4    5    10   6    2    1    2    9    1    10
Vardas663      Pavarde663     1    6    2    8    10   7    5    10   10   6    6
Vardas664      Pavarde664     4    4    8    2    1    8    10   1    8    2    10
Vardas665      Pavarde665     8    8    9    3    7    1    3    4    4    8    1
Vardas666      Pavarde666     7    10   5    5    6    1    7    8    7    2    5
Vardas667      Pavarde667     9    7    2    7    3    7    4    8    2    6    1
Vardas668      Pavarde668     4    2    5    9    2    1    3    1    3    8    4
Vardas669      Pavarde669     7    5    1    4    7    4    6    3    4    4    10
Vardas670      Pavarde670     10   4    10   10   3    3    10   8    10   5    5
Vardas671      Pavarde671     1    1    9    6    7    8    9    8    6    8    10
Vardas672      Pavarde672     2    1    3    5    6    9    2    1    5    7    6
Vardas673      Pavarde673     1    8    7    7    9    5    4    6    6    3    8
Vardas674      Pavarde674     9    8    7    9    3    10   8    8    1    2    5
Vardas675      Pavarde675     3    2    5    3    9    8    3    8    9    6    5
Vardas676      Pavarde676     9    9    4    7    3    1    3    1    7    5    4
Vardas677      Pavarde677     1    3    1    4    9    4    3    5    5    1    2
Vardas678      Pavarde678     10   8    4    1    6    10   5    10   9    6    9
Vardas679      Pavarde679     5    4    7    5    5    6    3    8    9    1    5
Vardas680      Pavarde680     1    2    8    1    4    9    9    1    1    5    4
Vardas681      Pavarde681     6    10   6    3    8    10   2    7    1    9    5
Vardas682      Pavarde682     7    10   10   2    2    3    5    3    8    1    1
Vardas683      Pavarde683     6    7    4    7    1    8    5    2    10   3    9
Vardas684      Pavarde684     6    3    9    4    7    9    4    5    5    8    5
Vardas685      Pavarde685     1    3    6    1    3    9    9    3    7    8    2
Vardas686      Pavarde686     9    9    6    3    2    6    9    4    8    5    8
Vardas687      Pavarde687     9    3    6    9    6    3    8    4    1    3    9
Vardas688      Pavarde688     5    2    3    3    6    10   5    10   8    4    4
Vardas689      Pavarde689     7    2    5    5    5    6    5    1    8    3    2
Vardas690      Pavarde690     4    1    7    1    2    4    9    10   7    1    9
Vardas691      Pavarde691     1    9    4    7    5    1    2    6    6    6    6
Vardas692      Pavarde692     2    10   8    5    7    7    8    10   5    8    3
Vardas693      Pavarde693     9    9    8    7    3    8    7    9    8    1    3
Vardas694      Pavarde694     4    1    4    3    4    8    7    8    4    6    2
Vardas695      Pavarde695     3    4    6    9    2    2    6    10   8    8    6
Vardas696      Pavarde696     8    9    10   10   7    3    1    8    1    5    10
Vardas697      Pavarde697     2    8    7    7    5    1    5    6    7    2    8
Vardas698      Pavarde698     8    8    9    5    2    8    4    4    10   1    8
Vardas699      Pavarde699     9    8    5    5    1    2    10   2    4    3    5
Vardas700      Pavarde700     2    4    2    6    6    7    9    1    1    8    7
Vardas701      Pavarde701     4    10   4    6    4    5    8    7    10   2    2
Vardas702      Pavarde702     2    9    10   5    8    10   1    8    7    7    10
Vardas703      Pavarde703     1    7    4    3    2    9    10   8    10   7    1
Vardas704      Pavarde704     2    5    7    10   2    3    8    5    8    3    2
Vardas705      Pavarde705     5    1    2    5    10   3    4    7    2    2    6
Vardas706      Pavarde706     9    1    9    4    1    3    1    1    10   2    10
Vardas707      Pavarde707     1    1    10   10   2    1    10   9    1    4    5
Vardas708      Pavarde708     6    2    8    6    4    3    8    9    3    7    2
Vardas709      Pavarde709     1    5    9    4    2    4    9    9    7    10   10
Vardas710      Pavarde710     6    5    6    2    8    5    1    6    6    8    2
Vardas711      Pavarde711     10   1    9    10   5    5    8    6    3    1    2
Vardas712      Pavarde712     4    1    8    10   9    3    4    2    5    5    7
Vardas713      Pavarde713     4    3    10   4    3    7    6    7    4    6    5
Vardas714      Pavarde714     5    5    6    4    8    7    9    10   9    10   2
Vardas715      Pavarde715     5    3    5    8    2    5    2    4    7    7    3
Vardas716      Pavarde716     3    10   7    5    3    1    2    8    5    8    2
Vardas717      Pavarde717     8    7    2    3    5    2    9    4    5    3    1
Vardas718      Pavarde718     4    10   4    3    1    5    8    9    8    6    5
Vardas719      Pavarde719     4    2    5    8    10   6    8    7    9    1    6
Vardas720      Pavarde720     2    1    7    9    9    8    4    4    2    3    3
Vardas721      Pavarde721     7    4    8    4    6    1    4    8    10   7    3
Vardas722      Pavarde722     3    1    2    5    5    6    6    7    7    3    1
Vardas723      Pavarde723     2    2    6    1    9    7    1    4    1    8    4
Vardas724      Pavarde724     4    6    4    3    8    6    2    9    10   6    3
Vardas725      Pavarde725     5    5    4    4    3    5    5    2    6    4    1
Vardas726      Pavarde726     2    3    7    7    10   7    8    5    4    7    4
Vardas727      Pavarde727     3    4    8    1    6    10   5    7    1    6    10
Vardas728      Pavarde728     9    3    9    9    9    4    10   5    9    3    2
Vardas729      Pavarde729     4    5    10   7    10   10   5    8    3    8    5
Vardas730      Pavarde730     1    8    4    5    3    5    6    2    3    3    3
Vardas731      Pavarde731     8    9    4    3    8    1    2    1    3    7    2
Vardas732      Pavarde732     8    7    7    8    6    5    1    1    9    2    6
Vardas733      Pavarde733     1    4    4    9    7    2    1    7    2    7    9
Vardas734      Pavarde734     10   1    10   3    5    5    4    7    6    5    9
Vardas735      Pavarde735     7    2    10   2    9    5    9    4    6    8    2
Vardas736      Pavarde736     6    6    6    1    2    4    6    7    2    5    1
Vardas737      Pavarde737     3    3    7    7    9    10   8    6    7    3    6
Vardas738      Pavarde738     5    6    1    10   4    8    2    1    8    5    4
Vardas739      Pavarde739     5    5    10   9    6    1    5    6    5    2    8
Vardas740      Pavarde740     8    8    5    2    10   7    6    9    7    3    10
Vardas741      Pavarde741     8    7    3    6    8    2    7    1    9    5    1
Vardas742      Pavarde742     1    7    10   8    10   10   8    5    7    7    9
Vardas743      Pavarde743     3    4    8    2    7    9    7    5    9    5    8
Vardas744      Pavarde744     3    6    6    8    4    9    10   7    4    1    5
Vardas745      Pavarde745     5    3    10   7    4    9    9    7    3    4    4
Vardas746      Pavarde746     5    8    3    2    10   5    7    6    1    3    3
Vardas747      Pavarde747     8    8    7    5    9    4    3    6    7    8    7
Vardas748      Pavarde748     2    5    5    2    10   6    3    4    7    10   7
Vardas749      Pavarde749     9    5    7    3    7    8    2    8    10   6    1
Vardas750      Pavarde750     2    4    9    1    7    6    1    3    2    2    10
Vardas751      Pavarde751     3    3    2    9    1    8    2    6    7    8    5
Vardas752      Pavarde752     2    7    8    5    8    7    6    9    10   10   7
Vardas753      Pavarde753     5    3    8    9    9    2    6    9    10   1    1
Vardas754      Pavarde754     5    7    7    4    4    2    10   1    6    6    7
Vardas755      Pavarde755     10   3    1    8    5    7    9    9    8    3    1
Vardas756      Pavarde756     2    2    1    2    4    3    5    10   1    7    5
Vardas757      Pavarde757     5    3    1    10   3    8    7    3    10   5    5
Vardas758      Pavarde758     7    3    10   8    3    10   7    1    10   10   8
Vardas759      Pavarde759     9    5    8    3    6    5    3    1    6    8    2
Vardas760      Pavarde760     10   3    2    6    8    6    4    1    8    5    5
Vardas761      Pavarde761     1    4    10   8    3    9    6    6    3    3    3
Vardas762      Pavarde762     7    6    6    10   7    6    7    8    9    10   3
Vardas763      Pavarde763     4    9    8    10   6    3    5    9    10   7    3
Vardas764      Pavarde764     9    9    10   2    9    2    7    1    10   6    10
Vardas765      Pavarde765     4    5    3    8    9    9    4    5    2    1    7
Vardas766      Pavarde766     8    5    2    9    9    3    5    3    1    2    6
Vardas767      Pavarde767     8    4    3    5    8    6    10   10   10   10   10
Vardas768      Pavarde768     2    6    5    10   1    6    1    4    10   2    9
Vardas769      Pavarde769     10   2    10   8    6    6    4    8    1    6    2
Vardas770      Pavarde770     7    4    10   5    2    4    2    9    6    9    5
Vardas771      Pavarde771     7    1    6    9    7    7    10   8    7    9    2
Vardas772      Pavarde772     9    10   2    5    8    3    7    8    1    10   6
Vardas773      Pavarde773     10   5    8    4    2    3    6    1    2    3    7
Vardas774      Pavarde774     5    2    4    1    9    9    3    6    2    7    6
Vardas775      Pavarde775     2    10   6    10   3    1    1    7    8    6    6
Vardas776      Pavarde776     2    1    2    3    7    4    9    4    6    10   1
Vardas777      Pavarde777     2    9    5    10   5    4    6    8    10   6    10
Vardas778      Pavarde778     3    2    1    5    8    8    1    1    5    10   9
Vardas779      Pavarde779     1    8    2    1    5    10   1    6    4    2    9
Vardas780      Pavarde780     10   4    4    9    5    2    1    7    7    4    1
Vardas781      Pavarde781     7    8    4    2    2    6    3    6    9    3    9
Vardas782      Pavarde782     5    10   6    8    8    6    8    1    9    1    4
Vardas783      Pavarde783     3    6    2    9    9    8    5    7    8    8    9
Vardas784      Pavarde784     7    1    9    3    10   6    1    5    8    6    4
Vardas785      Pavarde785     9    3    1    6    2    2    9    3    9    1    2
Vardas786      Pavarde786     1    3    5    4    1    2    4    5    1    7    7
Vardas787      Pavarde787     6    3    8    4    4    5    9    2    3    6    5
Vardas788      Pavarde788     6    6    5    2    6    9    10   10   9    2    8
Vardas789      Pavarde789     3    8    1    4    7    5    6    7    9    10   6
Vardas790      Pavarde790     2    5    2    9    4    10   4    3    6    2    1
Vardas791      Pavarde791     6    3    9    9    10   3    3    10   4    2    5
Vardas792      Pavarde792     2    8    5    7    7    8    3    6    5    5    5
Vardas793      Pavarde793     1    4    6    2    6    6    1    2    2    8    6
